GICS.Industry,total_area,coastal_risk_reduction_service_adj_sum,nitrogen_retention_service_adj_sum,sediment_retention_service_adj_sum,endemic_biodiversity_adj_sum,redlist_species_adj_sum,species_richness_adj_sum,kba_within_1km_adj_sum
Chemicals,5704021.021,30876.88698,3290292087,6289448668,0.00012527,392.015263,1.90027878,4.217919034
Chemicals,896814.0786,24870.33864,394104134.8,60970140.11,1.66E-05,75.30633366,0.309537126,0.315904522
Chemicals,509347.2318,191.4010567,64990820.71,184400648.7,6.78E-05,67.17168639,0.190807537,0.711947676
Chemicals,2100437.333,127609.9225,543747459.2,341331847.8,9.27E-05,164.2762324,0.872819337,0.331191458
Chemicals,227433.3962,5673.593745,249396369.1,128385552.9,5.53E-05,34.14607783,0.071654133,0.031220057
Chemicals,755361.9491,7218.317934,550683351.4,24592184.9,1.88E-05,56.51867483,0.28755928,0.378344636
Chemicals,4944023.691,69149.04839,2540607345,1167125901,0.000160673,356.5849478,1.7718498,5.510818626
Chemicals,2116336.567,42505.22611,556204041.8,32491361.32,3.57E-05,108.0300726,0.585655157,3.147103281
Chemicals,389377.4852,233.7063815,156263965.1,54532978.09,1.56E-05,39.04083664,0.130679043,0.393631573
Chemicals,3744958.091,62949.76538,40584737.31,111203534.7,0.001246892,594.6759987,1.841577318,1.169858696
Chemicals,2085665.718,47599.94004,612579648,1414692235,7.68E-05,170.7151975,0.838979354,0.378344636
Chemicals,1757783.896,61173.36541,290028784.5,662749980.9,0.000142948,228.1393163,0.578591308,2.853600203
Chemicals,1406228.397,12705.09205,720753016.2,67468161.09,0.000110478,125.2204375,0.541874457,0.868047962
Chemicals,617681.3265,19362.09554,167945960.4,17626097.42,2.22E-05,55.33980584,0.238841672,0.630516676
Chemicals,275426.0557,4383.858036,66290401.84,11945015.58,1.39E-05,26.48875144,0.136867062,0.047153178
Chemicals,15916899.96,6400.850737,3964516127,4954014970,0.000650437,2123.332115,8.061641001,7.342916708
Chemicals,1624127.744,28224.25368,270620845,653222507.5,0.000211334,157.0696115,0.543066626,2.071538298
Chemicals,42205.23373,4907.710909,2215604.077,1202805.492,8.82E-07,10.64173769,0.022874602,0.187320343
Chemicals,4722331.223,46715.96333,2418889309,976791585.9,0.000325656,329.5786604,1.633778905,8.247332954
Chemicals,2064956.716,115126.1672,337302436.3,38939588.44,3.49E-05,136.7610464,0.775727121,0.542411482
Chemicals,5326066.991,39793.05849,964329248.2,283950504.6,0.000161391,796.4630034,2.658547794,0.047153178
Chemicals,15483.00658,1035.345269,109999.688,1772.008738,1.94E-05,3.566840724,0.007370126,0
Chemicals,184462.9978,19288.54149,41537545,1746310.437,1.38E-05,16.56655042,0.07426642,0.062440114
Chemicals,2814345.905,30500.59125,1273845782,269185220.5,8.58E-05,211.0060245,1.105162957,0.275791917
Chemicals,151787.8048,56023.23553,17872490.63,1353819.17,1.94E-06,9.968081127,0.057383643,0
Chemicals,1765124.504,0,1853802171,58813918.34,3.31E-05,189.5370119,0.653105914,0.505636447
Chemicals,1352908.063,0,38835438.66,8990877.663,1.60E-05,119.1223414,0.321640904,0
Chemicals,166112.0295,0,54865756,8634651.483,1.29E-05,14.00193223,0.053878016,0.284038281
Chemicals,1070268.747,252.2624076,84384232.66,6754680.07,2.35E-05,104.0185723,0.342387942,3.908030826
Chemicals,383733.5319,0,192111317,7620158.902,8.88E-06,25.91342692,0.141661728,0.727234613
Chemicals,101043.4967,0,0,0,1.37E-07,25.88466704,0.002995658,0
Chemicals,5619.610292,0,0,0,1.38E-07,1.498562745,0.003031598,0
Chemicals,2766099.012,118442.9339,44427088.97,33284906.48,0.000174415,233.6025624,0.982960541,8.45033529
Chemicals,962292.3532,3540.410255,409081598.2,39652623.99,2.72E-05,75.43202411,0.349539726,0.284038281
Chemicals,312497.2664,1783.784338,72777078.22,9860592.037,5.27E-06,19.3099976,0.092555669,0.268751344
Chemicals,1269338.13,68680.79953,805266979.8,122984691.2,1.74E-05,73.6559201,0.419189964,1.042492951
Chemicals,574158.2547,2787.013445,287306367.3,34327917.62,7.39E-06,42.2069015,0.210207854,0.109593292
Chemicals,3309932.129,0,7320869.031,1208443.962,9.88E-05,117.5491074,0.874447755,0
Chemicals,4391664.186,25803.6928,169514118.3,45280308.41,0.000238482,254.6267463,1.374437786,0.062440114
Chemicals,1988207.122,0,136170.5843,205021.5139,0.000133033,103.7374356,0.90680684,0
Chemicals,192058.0571,0,458516056.7,20287227.45,4.83E-06,35.84077209,0.07426712,0
Chemicals,1123424.865,633.01911,131420722.1,31818393.79,2.88E-05,99.58240583,0.517717517,0
Chemicals,62366.11109,0,7094583.931,3202940.393,3.17E-06,6.474140503,0.02866035,0
Chemicals,5619.610291,0,22426994.51,1332337.669,2.48E-07,1.561002859,0.003525871,0
Chemicals,5619.610292,0,17592717.01,2402121.651,2.44E-07,1.561002859,0.003513163,0
Chemicals,5619.610291,0,2139340.681,91865.87678,2.35E-07,1.498562744,0.003499825,0
Chemicals,5619.610292,0,6232254.212,8031505.569,3.92E-07,1.248802287,0.003981331,0
Chemicals,11239.22058,0,3847.268622,9741.301753,2.52E-08,0.99904183,0.001603411,0
